"corpus","classlaweb_bs"
"subcorpus","-"
"concordance size","20159"
"query","Query:[lemma_lc=""arheol.*""]"
"text.genre", "Frequency", "Relative density", "Relative in text types"
"bilecainfo.com",34, 118.06125, 29.65855
"kupreskiradio.com",34, 288.06595, 72.36598
"livno-online.com",34, 356.33504, 89.51609
"muftijstvo-mostarsko.ba",34, 241.60529, 60.69445
"epoha.ba",33, 48.76799, 12.25117
"bosnapress.net",32, 317.35569, 79.72396
"bosniauknetwork.org",32, 956.50662, 240.28714
"source.ba",31, 37.65948, 9.46056
"hercegbosna.org",31, 984.80612, 247.39635
"mojagradiska.com",31, 686.04969, 172.34478
"rtv-kd.com",31, 52.90782, 13.29114
"bosanski-forum.com",30, 54.26000, 13.63083
"depo.ba",30, 74.34190, 18.67567
"prijepisi.blogspot.com",29, 2097.68439, 526.96613
"knjiga.ba",29, 152.61715, 38.33945
"kartabih.com",29, 6553.49232, 1646.32416
"izdvojeno.ba",29, 34.65167, 8.70496
"ff.unsa.ba",28, 3875.22028, 973.50671
"bev.ba",28, 269.66908, 67.74445
"bug.ba",27, 61.76114, 15.51522
"enovosti.ba",27, 4303.43960, 1081.08108
"herag.ba",27, 2531.22640, 635.87763
"derventa.org",27, 1029.20074, 258.54887
"jungletribe.ba",26, 1087.30943, 273.14654
"logicno.com",26, 43.99136, 11.05121
"biskupija-banjaluka.org",26, 245.29886, 61.62233
"srv2.idoconline.info",26, 110.17604, 27.67768
"podgradina.net",26, 1033.85033, 259.71691
"radio-capljina.com",25, 306.46182, 76.98727
"djordje.rs.ba",25, 147.62796, 37.08610
"opcinailidza.ba",25, 221.03551, 55.52705
"mrkonjic-grad.rs.ba",25, 325.42647, 81.75144
"tomislavnews.com",25, 130.60750, 32.81034
"indikator.ba",25, 29.03356, 7.29361
"pixelizam.com",25, 397.41005, 99.83467
"sirokibrijeg.ba",25, 268.67234, 67.49405
"ivanlovrenovic.com",24, 752.47402, 189.03145
"agroeko.net",23, 172.47548, 43.32813
"radioposusje.ba",23, 115.06002, 28.90460
"posjeti.ba",23, 2430.53114, 610.58165
"u17704981.onlinehome-server.com",23, 144.16673, 36.21659
"bljesak.info",22, 350.68995, 88.09796
"grude.info",22, 954.69357, 239.83168
"travnik-grad.info",21, 155.84208, 39.14960
"bpkg.gov.ba",21, 26.46799, 6.64911
"fena.ba",21, 137.25745, 34.48089
"vasicrajko.blogspot.com",21, 40.18700, 10.09551
"tip.ba",21, 258.38914, 64.91078
"mail.media.ba",20, 43.83839, 11.01279
"ckbuzim.ba",20, 96.83448, 24.32611
"turizamrs.org",20, 1551.43878, 389.74199
"visitvisoko.com",20, 11824.39219, 2970.44408
"hrvatska.ba",20, 792.43565, 199.07034
"ramski-vjesnik.ba",20, 1113.63313, 279.75941
"centarzakrs.ba",19, 1535.19569, 385.66151
"kns.ba",19, 124.01142, 31.15331
"zavicajnimuzej.com",19, 5984.09297, 1503.28349
"digi.ba",19, 16438.37231, 4129.53706
"radiobk.ba",19, 241.19111, 60.59041
"srebrenik.ba",18, 120.67039, 30.31400
"bosliterni.ba",18, 471.41512, 118.42573
"frontslobode.ba",18, 186.54587, 46.86280
"zenicagrad.ba",18, 109.74665, 27.56981
"nomad.ba",18, 57.01562, 14.32308
"asgmo.ba",18, 1700.45968, 427.17801
"mmportal.net",17, 101.11178, 25.40062
"chwb.org",17, 2764.92698, 694.58631
"aabh.ba",17, 210.46152, 52.87072
"svjetlorijeci.ba",17, 193.37447, 48.57823
"rama.co.ba",17, 117.54396, 29.52860
"buziminfo.ba",17, 188.49762, 47.35310
"infobih.com",17, 3172.45266, 796.96217
"hercegovina.info",17, 343.89289, 86.39045
"visitmycountry.net",17, 691.44363, 173.69981
"hrvatskiglasnik.ba",16, 2325.07962, 584.09083
"crnagora.ba",16, 1864.16045, 468.30182
"jna-sfrj.forumbo.net",16, 34.97588, 8.78641
"kontiki.ba",16, 3446.85064, 865.89458
"logovita.ba",16, 195.62591, 49.14382
"tebe-trazim.com",16, 32.49495, 8.16316
"dialogos.ba",16, 214.57031, 53.90291
"deblokada.com",16, 99.97850, 25.11593
"magic.ba",16, 125.65556, 31.56634
"bratunac.ba",15, 53.92212, 13.54595
"konjic.ba",15, 1830.87188, 459.93929
"mahalla.ba",15, 45.31287, 11.38319
"bibliotekapreporodatravnikknj.librarika.com",15, 2436.75418, 612.14496
"novi.ba",15, 29.98918, 7.53368
"ljubuski.net",15, 613.16093, 154.03415
"malovan.net",14, 264.76729, 66.51305
"kbf.unsa.ba",14, 846.63187, 212.68515
"h.etf.unsa.ba",14, 2639.33426, 663.03576
"posusje.net",14, 113.68829, 28.56000
"putovanja.ba",14, 355.19601, 89.22995
"zene.ba",14, 21.88876, 5.49875
"mostarskoljeto.ba",14, 1213.46389, 304.83822
"majevica.forumakers.com",14, 6675.79574, 1677.04839
"bosanskepiramide.ba",14, 20428.71805, 5131.96481
"media-marketing.com",14, 20.31437, 5.10324
"muzejhercegovine.com",14, 6251.91192, 1570.56316
"nap.ba",13, 34.44720, 8.65359
"eak.ba",13, 918.08646, 230.63549
"putuj.ba",13, 873.57543, 219.45373
"static02.source.ba",13, 75.18348, 18.88709
"paragraf.ba",13, 15.47951, 3.88866
"radiosirokibrijeg.com",13, 200.10851, 50.26991
"zesveske.ba",13, 90.57169, 22.75281
"medzlismostar.ba",12, 274.41464, 68.93660
"ftp.source.ba",12, 72.23856, 18.14728
"magazinplus.eu",12, 432.86707, 108.74195
"dijaspora.mhrr.gov.ba",12, 110.84493, 27.84572
"prijedor24.com",12, 116.26304, 29.20682
"mojmag.com",12, 99.99703, 25.12058
"unescobih.mcp.gov.ba",12, 1532.30832, 384.93616
"mostarski.info",12, 643.88014, 161.75123
"continentaladventure.net",12, 7821.87319, 1964.95824
"fmks.gov.ba",11, 508.57741, 127.76139
"makdizdar.ba",11, 298.80511, 75.06380
"cin.ba",11, 142.42847, 35.77992
"rfe.pangea-cms.com",11, 26.45147, 6.64496
"ladiesin.ba",11, 25.43490, 6.38958
"blog.mtel.ba",11, 49.41832, 12.41454
"profitiraj.ba",11, 20.26620, 5.09114
"europa.ba",11, 29.41692, 7.38992
"sadrzaj.net",11, 925.87694, 232.59256
"redovnistvo.ba",11, 40.88255, 10.27024
"vatan.ba",11, 58.65761, 14.73557
"trebinjedanas.com",11, 393.21023, 98.77962
"abrasmedia.info",11, 361.34560, 90.77480
"bhdijaspora.net",11, 784.04774, 196.96319
"infodrina.com",10, 9.88838, 2.48409
"sarajevo.co.ba",10, 134.17380, 33.70624
"bijeljina.online",10, 75.64499, 19.00303
"bh-vijesti.com",10, 17.04219, 4.28123
"donji-vakuf.ba",10, 4086.10309, 1026.48327
"infoprijedor.ba",10, 51.88029, 13.03302
"static01.source.ba",10, 46.24828, 11.61818
"news.ius.edu.ba",10, 132.69691, 33.33522
"grad.tuzla.ba",10, 847.33213, 212.86107
"bosona.ba",10, 6038.65539, 1516.99029
"glassrpske.com",10, 76.13546, 19.12624
"visitbih.ba",10, 325.68473, 81.81632
"derventa.ba",10, 1948.73532, 489.54815
"glasila.ba",10, 1319.98595, 331.59797
"slikeinovosti.blogspot.com",9, 17.51024, 4.39880
"haber.ba",9, 239.79528, 60.23975
"mail.livno-online.com",9, 129.55792, 32.54667
"semirosmanagic.com",9, 33671.17921, 8458.64662
"travnicki.ba",9, 67.36882, 16.92394
"una.world",9, 244.23191, 61.35429
"samostan-dubrave.ba",9, 2071.35376, 520.35153
"ksc-sarajevo.com",9, 288.96938, 72.59294
"islamskazajednica.ba",9, 21.51747, 5.40547
"bigportal.ba",9, 63.49450, 15.95066
"pfk.edu.ba",9, 349.96713, 87.91638
"zenicainfo.ba",9, 389.70255, 97.89845
"banjaluka-turizam.com",9, 586.99613, 147.46121
"zdraviportal.ba",9, 65.45308, 16.44268
"dzematrahic.ba",9, 64.86399, 16.29469
"zenit.ba",9, 738.22655, 185.45230
"ljubusaci.com",9, 301.82085, 75.82140
"centralna.ba",9, 23.69170, 5.95167
"banjalukaforum.com",9, 27.66854, 6.95070
"narod.ba",9, 165.59724, 41.60022
"radimlja.ba",9, 3384.93336, 850.34014
"old.unsa.ba",9, 529.20522, 132.94337
"face.ba",8, 256.30968, 64.38839
"civilis.ba",8, 135.90061, 34.14003
"penbih.ba",8, 36.02476, 9.04990
"serb-victims.org",8, 23.86897, 5.99620
"opcina-jajce.ba",8, 125.37777, 31.49656
"historija.info",8, 157.68432, 39.61239
"prosvjeta.com.ba",8, 177.95428, 44.70448
"novikonjic.ba",8, 161.69473, 40.61986
"gobih.ba",8, 119.78910, 30.09261
"kozarski.com",8, 118.31729, 29.72287
"medzlis.ba",8, 71.74726, 18.02386
"furaj.ba",8, 362.23003, 90.99699
"radiosrebrenik.ba",8, 468.85329, 117.78216
"ukrina.ba",8, 1808.68138, 454.36474
"igre123.net",8, 13.90337, 3.49271
"igbd.org",8, 26.59954, 6.68216
"odzak.ba",8, 1378.29271, 346.24540
"dental4u.ba",8, 84.91441, 21.33163
"unsa.ba",8, 302.50352, 75.99289
"zsd.eu.com",8, 207.51631, 52.13085
"stav.ba",8, 133.87023, 33.62998
"ptice.info",7, 117.58280, 29.53836
"bastina.ba",7, 1605.94614, 403.43496
"stari.kbf.unsa.ba",7, 384.05033, 96.47853
"summit.mandala.ba",7, 7943.20736, 1995.43900
"predsjednistvobih.ba",7, 77.27743, 19.41311
"antikorupcija.info",7, 26.38432, 6.62809
"nova-topola.rs.ba",7, 252.01251, 63.30888
"scsport.ba",7, 10.83362, 2.72155
"prozor-rama.org",7, 1512.74546, 380.02172
"poptheo.ba",7, 52.04536, 13.07448
"e-turizam.com",7, 589.06986, 147.98216
"fmoit.gov.ba",7, 103.28778, 25.94726
