"corpus","classlaweb_bs"
"subcorpus","-"
"concordance size","20159"
"query","Query:[lemma_lc=""arheol.*""]"
"text.genre", "Frequency", "Relative density", "Relative in text types"
"fojnica-samostan.com",2, 59.83378, 15.03104
"banjaluka-tourism.com",2, 244.94241, 61.53278
"elitetravel.ba",2, 466.85998, 117.28142
"bhpcelar.ba",2, 121.56052, 30.53761
"mirovna-akademija.org",2, 71.81587, 18.04110
"kvirarhiv.org",2, 176.42128, 44.31937
"policyhub.analitika.ba",2, 150.46423, 37.79861
"privrednastampa.ba",2, 6.65823, 1.67264
"visitpraca.com",2, 999.79446, 251.16162
"miss-una.com",2, 123.74278, 31.08583
"kupisadnice.ba",2, 198.55259, 49.87904
"skupstina.tk.gov.ba",2, 2230.07374, 560.22409
"ba.voanews.com",2, 12.09483, 3.03838
"schachermayer.ba",2, 209.18477, 52.54999
"slovogorcina.ba",2, 850.57300, 213.67521
"ideaplus.rs.ba",2, 116.42143, 29.24661
"redah.ba",2, 1910.11595, 479.84645
"radio-feral.ba",2, 11.70629, 2.94077
"ljubinje.forumsr.com",2, 74.28862, 18.66229
"opcinakupres.ba",2, 144.52345, 36.30621
"info.ba",2, 4.17772, 1.04950
"travnicki.info",2, 102.14865, 25.66109
"doljani.info",2, 151.50938, 38.06116
"mail.sapna.ba",2, 113.47763, 28.50708
"fpmoz.sum.ba",2, 42.71599, 10.73082
"naff.ba",2, 514.00111, 129.12389
"religis.com",2, 23.13415, 5.81161
"bihamk.ba",2, 108.76179, 27.32240
"rijecidjelo.ba",2, 13.64488, 3.42777
"ski-jahorina.ba",2, 695.49780, 174.71827
"muhammad.com",2, 5.98149, 1.50263
"fatmiralispahic.ba",2, 49.93830, 12.54516
"kanal6.ba",2, 88.01074, 22.10946
"vrbovac.com",2, 921.13424, 231.40113
"bbm.edu.ba",2, 64.44569, 16.18961
"sff.ba",2, 24.00742, 6.03098
"vidovitadzemila.com",2, 43.71277, 10.98123
"pravnapomoc.upfbih.ba",2, 9.15983, 2.30107
"vrhbosanska-nadbiskupija.org",2, 506.73816, 127.29934
"svijetkonja.ba",2, 178.21820, 44.77077
"akcija.org.ba",2, 171.48501, 43.07931
"visitprijedor.com",2, 313.66178, 78.79600
"fbihpotpredsjednik.gov.ba",2, 96.72766, 24.29927
"strelec.si",2, 780.60234, 196.09766
"centrotours.ba",2, 229.58628, 57.67512
"icomosubih.ba",2, 4089.04122, 1027.22137
"forumbosna.org",2, 101.71666, 25.55257
"historiografija.ba",2, 153.56679, 38.57801
"osem.edu.ba",2, 420.14688, 105.54647
"cazin.ba",2, 104.92874, 26.35949
"framost.com",2, 59.91619, 15.05174
"osuc.edu.ba",2, 156.72900, 39.37240
"znaci.ba",2, 22.01808, 5.53123
"infosvijet.net",2, 40.92152, 10.28003
"bogoslovski.ues.rs.ba",2, 760.03468, 190.93079
"index.ba",2, 82.93691, 20.83485
"ksckakanj.ba",2, 644.22749, 161.83849
"gugu.ba",2, 9.31580, 2.34025
"cns.ba",2, 137.40229, 34.51728
"euprojekti.apriori.ba",2, 9756.57263, 2450.98039
"ringeraja.ba",2, 0.72639, 0.18248
"vijecnica.ba",2, 1511.84262, 379.79491
"radiobobovac.com",2, 164.66789, 41.36676
"instituteforgenocide.org",2, 14.64881, 3.67997
"studirajvani.ba",2, 288.08986, 72.37199
"ues.rs.ba",2, 877.38189, 220.40996
"infobirac.net",2, 393.58134, 98.87285
"nubt.ba",2, 45.19316, 11.35312
"reprezent.ba",2, 420.10254, 105.53533
"zupagrabovica.com",2, 255.09831, 64.08408
"matematika.ba",2, 92.00591, 23.11310
"srebrenica.famamethodology.net",2, 165.36220, 41.54118
"domacifilmovi.ba",2, 1067.92264, 268.27632
"nocistrazivaca.ba",2, 371.40153, 93.30099
"sambucol.ba",1, 682.79273, 171.52659
"artinfo.ba",1, 76.15177, 19.13033
"smsfojnica.com",1, 38.14009, 9.58130
"osvpc.ba",1, 104.92597, 26.35880
"geotehnika.ba",1, 1379.78566, 346.62045
"bnp.ba",1, 19.76574, 4.96542
"quantumfuture.net",1, 83.76503, 21.04289
"cuspajz.com",1, 1.98537, 0.49875
"udas.rs.ba",1, 17.57553, 4.41521
"tnt.ba",1, 33.14997, 8.32771
"zarada.ba",1, 52.07930, 13.08301
"svevijesti.ba",1, 40.93877, 10.28436
"bihlive.com",1, 106.24217, 26.68944
"mladi.ba",1, 74.64105, 18.75082
"infocentar.ba",1, 257.71602, 64.74168
"hercegovina.ba",1, 557.83095, 140.13453
"osis.edu.ba",1, 198.71614, 49.92013
"advokatskakomora.ba",1, 253.09522, 63.58087
"flw.ius.edu.ba",1, 450.45622, 113.16057
"ceker.ba",1, 33.24410, 8.35136
"hotelbigeste.ba",1, 2392.23656, 600.96154
"pdp.rs.ba",1, 3.77622, 0.94864
"zanimljivosti-vicevi.blogspot.com",1, 8865.66065, 2227.17149
"zilavka.ba",1, 1278.31780, 321.13038
"divan-karupovic.ba",1, 560.97543, 140.92446
"bhdoktor.ba",1, 194.70196, 48.91171
"draganmocevic.com",1, 113.56504, 28.52904
"zupanijaposavska.ba",1, 58.57475, 14.71475
"jajce-online.com",1, 144.91542, 36.40467
"kuhar.ba",1, 16.32926, 4.10213
"new.uino.gov.ba",1, 41.50910, 10.42764
"modernazena.ba",1, 254.95943, 64.04919
"mojdoktor.ba",1, 42.12495, 10.58235
"isabeg.edu.ba",1, 146.15515, 36.71611
"fpm.ues.rs.ba",1, 61.42079, 15.42972
"fin.unsa.ba",1, 38.06642, 9.56279
"opcinadobojistok.ba",1, 432.21299, 108.57763
"dobrici.webnode.com",1, 95.54247, 24.00154
"crvena-jabuka.ba",1, 340.78261, 85.60911
"tntradio.ba",1, 59.54825, 14.95931
"kokosar.com",1, 30.14777, 7.57352
"novasloboda.ba",1, 53.33461, 13.39836
"napredak-derventa.ba",1, 1355.35636, 340.48349
"opcinatravnik.com.ba",1, 14.38674, 3.61414
"skupstinabd.ba",1, 21.07073, 5.29325
"enter.ba",1, 15.24599, 3.82999
"gdhb.ba",1, 75.61654, 18.99588
"foto.tuzamk.ba",1, 356.46831, 89.54957
"split.ssfcr.org",1, 83.45944, 20.96612
"svjetlost.ba",1, 91.49520, 22.98481
"turizam.kfbih.com",1, 4694.20004, 1179.24528
"infobijeljina.com",1, 217.16757, 54.55537
"balkansmedia.org",1, 10.30122, 2.58780
"ekotim.net",1, 61.71599, 15.50388
"poljoprivreda.ba",1, 12.49767, 3.13958
"wikimedia.rs.ba",1, 161.86238, 40.66198
"skolskiportal.ba",1, 28.11653, 7.06324
"skupstina-zzh.ba",1, 47.90173, 12.03355
"institutfrancais.ba",1, 99.79147, 25.06894
"fucz.gov.ba",1, 4.73577, 1.18969
"rural.ba",1, 429.69361, 107.94473
"dbg.ba",1, 181.05529, 45.48349
"regional.ba",1, 322.66204, 81.05698
"sput.ba",1, 106.49229, 26.75227
"institut-genocid.unsa.ba",1, 34.89469, 8.76601
"bijeljina.org",1, 60.83506, 15.28257
"sodalive.ba",1, 24.56347, 6.17067
"tsbih.ba",1, 11.42010, 2.86888
"bh-gas.ba",1, 155.55614, 39.07776
"zupauskoplje.org",1, 60.43423, 15.18188
"automoto.ba",1, 1.72375, 0.43303
"crnelokve.ba",1, 148.72157, 37.36083
"sbk-ksb.gov.ba",1, 26.43461, 6.64072
"vakuf.ba",1, 157.61330, 39.59455
"praca.ba",1, 292.76176, 73.54564
"svjetionik.cdv.ba",1, 468.97757, 117.81338
"jeruzalem-ormoz.si",1, 13224.85592, 3322.25914
"analiziraj.ba",1, 19.39573, 4.87246
"buzimpress.ba",1, 11.05244, 2.77652
"hotel-luna.ba",1, 2878.29474, 723.06580
"faktor.ba",1, 10.70361, 2.68889
"gallery.ba",1, 71.90018, 18.06228
"cerd.ba",1, 345.45532, 86.78296
"kotorvaroskadolina.com",1, 10.64282, 2.67362
"posavina.org",1, 43.19269, 10.85058
"rzs.rs.ba",1, 101.84939, 25.58592
"astrologija.ba",1, 4.30826, 1.08229
"maglaj.ba",1, 6.76620, 1.69976
"alr.ba",1, 48.44270, 12.16945
"ghpasha.com",1, 524.60222, 131.78703
"vitalniznaci.ba",1, 363.16774, 91.23255
"korner.ba",1, 19.03103, 4.78085
"uino.gov.ba",1, 15.05712, 3.78255
"blmojgrad.com",1, 34.75667, 8.73134
"lazyhorse.ba",1, 1004.96885, 252.46150
"zlatkolukic.com",1, 31.35259, 7.87619
"basigovci.com",1, 382.05986, 95.97850
"bkbih.ba",1, 4.55852, 1.14516
"glascelinca.com",1, 394.20495, 99.02951
"detektor.ba",1, 20.21779, 5.07898
"justice-report.com",1, 3.28333, 0.82482
"vakcine.ba",1, 14.08717, 3.53888
"fmeri.gov.ba",1, 380.74430, 95.64802
"sklop.org",1, 406.73155, 102.17636
"azra.ba",1, 38.62602, 9.70337
"eurotravel.ba",1, 907.58815, 227.99818
"islam-sunnet.blogspot.com",1, 50.63063, 12.71909
"e-avlija.blogspot.com",1, 646.42443, 162.39039
"energis.ba",1, 48.15380, 12.09687
"capljinka.ba",1, 3692.65457, 927.64378
"abcportal.info",1, 20.95779, 5.26488
"sarajevo.travel",1, 120.75113, 30.33428
"diva.ba",1, 11.06753, 2.78031
"pbk.edu.ba",1, 584.44893, 146.82132
"adorion.ba",1, 64.98117, 16.32413
"ugip-tz.ba",1, 68.57451, 17.22683
"likvidno.com",1, 139.69265, 35.09264
"svemir.ba",1, 44.20524, 11.10494
"jelah.ba",1, 308.98716, 77.62167
"osppnjegos.rs.ba",1, 164.57939, 41.34452
"nekros.info",1, 265.91060, 66.80027
"catbih.ba",1, 24.29437, 6.10307
"e-cris.rs.cobiss.net",1, 263.32484, 66.15069
"ets-sa.edu.ba",1, 108.25306, 27.19460
"osprvail.edu.ba",1, 117.09265, 29.41523
"matbibli.rs.ba",1, 84.60175, 21.25308
"feb.ba",1, 14.63061, 3.67540
"nahla.ba",1, 49.05156, 12.32240
"valter.ba",1, 308.57997, 77.51938
"lilium.ba",1, 35.18119, 8.83798
"mpoint.ba",1, 124.65340, 31.31459
"bauerfeind.ba",1, 47.02907, 11.81433
"osmaosnovnail.edu.ba",1, 149.60469, 37.58268
"kuk.ba",1, 12026.22849, 3021.14804
"psiholoskisavjeti.blogspot.com",1, 72.01204, 18.09038
"urbanmagazin.ba",1, 412.03619, 103.50895
"vakuf-gazi.ba",1, 426.79121, 107.21561
"1gimnazija.com.ba",1, 277.82535, 69.79341
"vlada.ks.gov.ba",1, 6.35385, 1.59617
"bhgolf.ba",1, 17.60343, 4.42222
"tff.ba",1, 68.59105, 17.23098
"skola-domaljevac.net",1, 97.61836, 24.52303
"teslicdanas.net",1, 21.40531, 5.37730
"bosnasrebrena.ba",1, 90.77123, 22.80294
"neretva.ba",1, 667.45165, 167.67270
"medresamostar.com",1, 17.52948, 4.40364
"snagalokalnog.ba",1, 247.30875, 62.12724
"gradacac.ba",1, 15.66149, 3.93437
"klobuk.info",1, 217.49982, 54.63884
"zaboljitak.ba",1, 10.28940, 2.58483
"brcko.tv",1, 42.24566, 10.61267
"ssjablanica.com.ba",1, 411.31242, 103.32713
"oluja.info",1, 73.83254, 18.54771
"dnevnik.ba",1, 31.69030, 7.96102
"forum.narkomanija.ba",1, 1.27218, 0.31959
"parlament.ba",1, 74.05093, 18.60257
"fotobih.ba",1, 223.99874, 56.27145
"el-asr.com",1, 187.00059, 46.97703
"fhn.unmo.ba",1, 186.31789, 46.80552
"bhtornjak.com",1, 102.23916, 25.68383
"otvorena-kuca.ba",1, 257.53262, 64.69561
"sport.novi.ba",1, 5.07992, 1.27614
"ff.untz.ba",1, 45.72343, 11.48633
"raiffeisenbank.team.ba",1, 20.65890, 5.18979
"aarhus.ba",1, 11.15352, 2.80191
"druga-gimnazija.ba",1, 145.32809, 36.50834
"ba.ambafrance.org",1, 46.21177, 11.60901
"farf.sum.ba",1, 571.77271, 143.63689
"siadizajn.ba",1, 65.45559, 16.44331
"brcanski-forum.com",1, 164.34836, 41.28649
"treca-gimnazija.edu.ba",1, 313.58765, 78.77738
"naklada-mate.ba",1, 104.42228, 26.23226
"mizzenica.ba",1, 17.71861, 4.45115
"eui-zzh.ba",1, 50.53679, 12.69551
"medjugorje.org",1, 17.34963, 4.35846
"modrica.ba",1, 310.60250, 78.02747
"suggsbih.ba",1, 686.79807, 172.53278
"ecos.ba",1, 253.28847, 63.62942
"semerkand.ba",1, 30.71348, 7.71563
"olovo.co.ba",1, 3984.66630, 1001.00100
"dompenzionera.ba",1, 1283.26294, 322.37266
"hocu.ba",1, 48.66537, 12.22539
"mizbosanskagradiska.com",1, 12.87755, 3.23501
"kockice.ba",1, 80.95423, 20.33678
"raftinguna.com",1, 1452.80351, 364.96350
"elskolapd.com",1, 392.95969, 98.71668
"pascisk.50megs.com",1, 307.62609, 77.27975
"balans.co.ba",1, 150.02192, 37.68750
"az.medzlistuzla.ba",1, 11.98860, 3.01169
"obnovljivi.com",1, 4.41415, 1.10889
"zepa-bih.blogspot.com",1, 2126.43250, 534.18803
"simply-selma.com",1, 9.66227, 2.42729
"ldamostar.org",1, 48.61664, 12.21314
"online.zehra.ba",1, 137.57324, 34.56022
"intersport.ba",1, 64.63195, 16.23640
"zupabihac.com",1, 47.14437, 11.84329
"pdkonjuh.ba",1, 468.04017, 117.57790
"ugbih.ba",1, 55.97134, 14.06074
"citluk.ba",1, 506.31921, 127.19410
"furniturewood.ba",1, 53.92708, 13.54720
"sapna.ba",1, 39.61744, 9.95243
"unze.ba",1, 9.88601, 2.48350
"grude-online.info",1, 7.27692, 1.82806
"mtto-hnz-k.ba",1, 4902.31728, 1231.52709
"oculus.sfera.ba",1, 35.31822, 8.87241
"nutricionista.ba",1, 882.04778, 221.58210
"tekstovi.net",1, 1.62488, 0.40819
"franjevackateologija.ba",1, 73.81201, 18.54256
"globalanalitika.com",1, 7.72379, 1.94032
"muzej-kresevo.ba",1, 5544.12483, 1392.75766
"osonh.edu.ba",1, 1948.44916, 489.47626
"radiom.ba",1, 286.83396, 72.05649
"ckdbih.com",1, 220.68309, 55.43852
"usora.ba",1, 103.28970, 25.94774
"nebotours.ba",1, 359.75433, 90.37506
"pkusk.com",1, 26.64356, 6.69322
"ekran.ba",1, 2.94742, 0.74043
"spdzdk.ba",1, 180.93185, 45.45248
"impulsportal.info",1, 18.27602, 4.59118
"balkanko.com",1, 353.77547, 88.87309
"post.ba",1, 403.84312, 101.45075
"wlm.wikimedia.rs.ba",1, 3387.81415, 851.06383
"stap.ba",1, 139.54573, 35.05574
"watsanfbih.org",1, 235.82237, 59.24171
"javnarasprava.ba",1, 26.20007, 6.58181
"cydonia.ba",1, 299.50204, 75.23888
"opstinabileca.ba",1, 151.06378, 37.94922
"oskovacici.edu.ba",1, 190.23568, 47.78973
"mpsv-hnz-k.ba",1, 180.96475, 45.46074
"ikvrijeme.ba",1, 1322.48559, 332.22591
"lookalno.ba",1, 62.18552, 15.62183
"onlinepeticija.com",1, 9.88054, 2.48212
"lijekizprirode.com",1, 4.36168, 1.09571
"sportsport.ba",1, 6.20375, 1.55847
"trebevic.ba",1, 320.66068, 80.55421
"oktal-pharma.ba",1, 73.43483, 18.44780
"geologija.ba",1, 498.33270, 125.18778
"tuzlalive.ba",1, 238.57846, 59.93407
"zepter.ba",1, 54.10740, 13.59250
"anarhija.info",1, 12.30645, 3.09154
"drenova.com",1, 27.45733, 6.89765
"hemija.pmf.unsa.ba",1, 1431.38498, 359.58288
"relaxtours.com",1, 719.70378, 180.79913
"vijesti.ba",1, 58.99841, 14.82118
"usrvitez.ba",1, 565.92005, 142.16662
"kalmanradio.ba",1, 3169.33251, 796.17834
"monkshnk.gov.ba",1, 41.71617, 10.47965
"hdzbih.org",1, 30.34472, 7.62300
"mff.ba",1, 548.83243, 137.87398
"obala.edu.ba",1, 83.06065, 20.86594
"almira-hotel.ba",1, 2126.43250, 534.18803
"clanak.ba",1, 49.07696, 12.32878
"startravel.ba",1, 244.64886, 61.45904
"radioilijas.ba",1, 1686.72950, 423.72881
